unified_rank,player,team,position,sleeper_rank,sources_count,unified_score,sleeper_pts,sleeper_floor,sleeper_pp90
73,Lukas Hornicek,NEW,GK,73,1,0.17298578199052134,225.71,162.12,5.94
74,Mohamed Belloumi,HUL,MID,74,1,0.17535545023696683,223.96,198.55,10.08
75,Mikkel Damsgaard,BRE,MID,75,1,0.17772511848341233,223.01,174.75,9.12
76,Vitaliy Mykolenko,EVE,DEF,76,1,0.18009478672985782,222.53,157.34,6.68
77,Djordje Petrovic,BOU,GK,77,1,0.18246445497630331,220.13,158.13,5.79
78,Jean-Philippe Mateta,CRY,FWD,78,1,0.1848341232227488,220.04,127.53,9.9
79,Jordan Pickford,EVE,GK,79,1,0.1872037914691943,218.89,139.66,5.76
80,Milos Kerkez,LIV,DEF,80,1,0.1895734597156398,218.8,142.7,7.03
81,Jake O'Brien,EVE,DEF,81,1,0.19194312796208532,217.67,164.08,6.53
82,Martin Odegaard,ARS,MID,82,1,0.1943127962085308,217.5,149.14,10.87
83,Kaoru Mitoma,BHA,MID,83,1,0.1966824644549763,217.37,174.64,9.78
84,Will Osula,NEW,FWD,84,1,0.1990521327014218,216.12,124.62,10.81
85,Ian Maatsen,AVL,DEF,85,1,0.2014218009478673,215.42,157.37,8.08
86,Charalampos Kostoulas,BHA,FWD,86,1,0.2037914691943128,215.06,142.99,12.1
87,Jack Hinshelwood,BHA,MID,87,1,0.20616113744075829,214.98,147.94,7.74
88,Omar Alderete,SUN,DEF,88,1,0.20853080568720378,213.86,175.75,6.87
89,Emiliano Martinez,AVL,GK,89,1,0.2109004739336493,213.64,152.03,5.62
90,Daniel Ballard,SUN,DEF,90,1,0.2132701421800948,213.47,180.58,8.01
91,Josko Gvardiol,MCI,DEF,91,1,0.2156398104265403,213.43,125.73,8.35
92,James Trafford,LEE,GK,92,1,0.21800947867298578,213.0,178.18,5.61
93,Alisson,LIV,GK,93,1,0.22037914691943128,212.43,129.75,5.59
94,Lewis Miley,NEW,MID,94,1,0.22274881516587677,209.86,168.88,7.87
95,Harvey Barnes,NEW,MID,95,1,0.22511848341232227,209.34,140.21,9.42
96,Ethan Ampadu,LEE,MID,96,1,0.22748815165876776,209.21,215.86,5.88
97,Oliver McBurnie,HUL,FWD,97,1,0.22985781990521326,208.93,157.31,7.83
98,Thierno Barry,EVE,FWD,98,1,0.23222748815165878,208.87,135.91,9.4
99,Bruno Guimaraes,ARS,MID,99,1,0.23459715639810427,208.67,158.49,8.54
100,Marcos Senesi,TOT,DEF,100,1,0.23696682464454977,208.65,164.97,7.51
