rank,player,team,position,pos_rank,price,ros_pct
145,Sels,NFO,GK,14,5.0,1.5
146,Palestra,CHE,DEF,48,5.5,2.3
147,Manzambi,AVL,MID,63,6.0,2.0
148,Verbruggen,BHA,GK,15,4.5,17.7
149,Anthony,BRE,MID,64,6.0,0.2
150,Rushworth,COV,GK,16,4.5,0.9
151,Eze,ARS,MID,65,6.5,3.1
152,Vuskovic,BHA,DEF,49,5.0,2.7
153,Ngumoha,LIV,MID,66,6.0,1.5
154,Hornicek,NEW,GK,17,5.0,0.4
155,Scherpen,IPS,GK,18,4.5,0.4
156,Rodon,LEE,DEF,50,4.5,1.9
157,van Ewijk,COV,DEF,51,4.0,15.5
158,Rashford,MUN,MID,67,7.0,1.5
159,Trafford,LEE,GK,19,5.0,2.2
160,Hudson-Odoi,NFO,MID,68,6.0,0.1
161,Bobb,FUL,MID,69,5.5,0.4
162,Branthwaite,EVE,DEF,52,5.5,1.9
163,Livramento,NEW,DEF,53,5.0,0.1
164,Kamada,CRY,MID,70,5.0,0.3
165,Sadiki,SUN,MID,71,5.0,0.4
166,Kluivert,BOU,MID,72,6.0,1.1
167,Hamer,COV,MID,73,5.5,0.0
168,Diomande,NFO,DEF,54,5.5,0.1
169,Robinson,FUL,DEF,55,4.5,2.5
170,Wissa,NEW,FWD,23,6.0,1.7
171,Aina,NFO,DEF,56,4.5,4.3
172,Fatawu,IPS,MID,74,5.5,0.3
173,Berge,FUL,MID,75,5.0,0.4
174,Florentino,IPS,MID,76,5.0,0.0
175,Bijol,LEE,DEF,57,5.0,0.3
176,Ayari,BHA,MID,77,5.5,0.8
177,Konsa,AVL,DEF,58,4.5,16.3
178,Tzolakis,HUL,GK,20,4.5,0.2
179,Hume,SUN,DEF,59,4.5,4.3
180,Sangare,NFO,MID,78,5.0,0.6
181,Lukic,IPS,MID,79,5.0,0.1
182,Hinshelwood,BHA,MID,80,6.0,0.2
183,Ekitike,LIV,FWD,24,7.5,0.2
184,Madueke,ARS,MID,81,6.5,0.4
185,De Cuyper,BHA,DEF,60,4.5,1.3
186,Udogie,TOT,DEF,61,4.5,0.4
187,Munoz,LIV,MID,82,6.5,0.8
188,Mosquera,ARS,DEF,62,5.5,14.7
189,Martinelli,ARS,MID,83,6.5,0.3
190,Yarmoliuk,BRE,MID,84,5.0,1.5
191,Yeremy,CRY,MID,85,5.5,0.2
192,Garnacho,AVL,MID,86,6.0,0.9
193,Madjo,AVL,FWD,25,5.5,0.8
194,Kostoulas,BHA,FWD,26,5.5,0.3
195,Pau,AVL,DEF,63,4.5,0.3
196,Ndoye,NFO,MID,87,5.5,0.5
197,Marmoush,MCI,FWD,27,7.0,0.8
198,Richarlison,TOT,FWD,28,6.0,2.0
199,Sangare,BRE,MID,88,5.5,1.4
200,White,ARS,DEF,64,5.5,0.8
