unified_rank,player,team,position,waiverkings_rank,sources_count,unified_score,waiverkings_pts
100,Canvot,CRY,DEF,100,1,0.625,72.0
101,Alderete,SUN,DEF,101,1,0.63125,125.0
102,Ballard,SUN,DEF,102,1,0.6375,116.0
103,Hill,BOU,DEF,103,1,0.64375,110.0
104,Vuskovic,BHA,DEF,104,1,0.65,
105,Muharemović,LEE,DEF,105,1,0.65625,
106,Florentino,IPS,MID,106,1,0.6625,
107,Sangaré,BRE,MID,107,1,0.66875,
108,Garnacho,AVL,MID,108,1,0.675,56.0
109,Tel,TOT,MID,109,1,0.68125,78.0
110,Ngumoha,LIV,MID,110,1,0.6875,43.0
111,Rashford,MUN,MID,111,1,0.69375,
112,Manzambi,AVL,MID,112,1,0.7,
113,Sánchez,CHE,GK,113,1,0.70625,113.0
114,Roefs,SUN,GK,114,1,0.7125,136.0
115,Lammens,MUN,GK,115,1,0.71875,109.0
116,Martinez,AVL,GK,116,1,0.725,120.0
117,Henderson,CRY,GK,117,1,0.73125,131.0
118,Kinsky,TOT,GK,118,1,0.7375,20.0
119,Trafford,LEE,GK,119,1,0.74375,13.0
120,Munoz,LIV,MID,120,1,0.75,
121,Gomez,BHA,MID,121,1,0.75625,97.0
122,Tielemans,MUN,MID,122,1,0.7625,68.0
123,Estêvão,CHE,MID,123,1,0.76875,58.0
124,Xhaka,SUN,MID,124,1,0.775,124.0
125,Tonali,TOT,MID,125,1,0.78125,81.0
126,Iwobi,FUL,MID,126,1,0.7875,103.0
127,Okafor,LEE,MID,127,1,0.79375,109.0
128,Nmecha,LEE,FWD,128,1,0.8,73.0
129,Barry,EVE,FWD,129,1,0.80625,95.0
130,Wood,NFO,FWD,130,1,0.8125,41.0
131,Rodríguez,BOU,FWD,131,1,0.81875,
132,Branthwaite,EVE,DEF,132,1,0.825,32.0
133,Konsa,AVL,DEF,133,1,0.83125,100.0
134,Hincapie,ARS,DEF,134,1,0.8375,87.0
135,Thiaw,NEW,DEF,135,1,0.84375,126.0
136,Botman,NEW,DEF,136,1,0.85,89.0
137,Palestra,CHE,DEF,137,1,0.85625,
138,Keane,EVE,DEF,138,1,0.8625,131.0
139,James,CHE,DEF,139,1,0.86875,115.0
140,Rúben,MCI,DEF,140,1,0.875,113.0
141,Van de Ven,TOT,DEF,141,1,0.88125,116.0
142,Richards,CRY,DEF,142,1,0.8875,128.0
143,Petrović,BOU,GK,143,1,0.89375,124.0
144,Horníček,NEW,GK,144,1,0.9,
145,Leno,FUL,GK,145,1,0.90625,122.0
146,Verbruggen,BHA,GK,146,1,0.9125,130.0
147,Rushworth,COV,GK,147,1,0.91875,
148,Butland,HUL,GK,148,1,0.925,
149,Scherpen,IPS,GK,149,1,0.93125,
150,Maguire,MUN,DEF,150,1,0.9375,90.0
151,Mitchell,CRY,DEF,151,1,0.94375,135.0
152,Wieffer,BHA,DEF,152,1,0.95,94.0
153,Bijol,LEE,DEF,153,1,0.95625,99.0
154,Udogie,TOT,DEF,154,1,0.9625,29.0
155,Struijk,BHA,DEF,155,1,0.96875,108.0
156,Bogle,LEE,DEF,156,1,0.975,96.0
157,Justin,LEE,DEF,157,1,0.98125,94.0
158,De Cuyper,BHA,DEF,158,1,0.9875,84.0
159,Jacquet,LIV,DEF,159,1,0.99375,
160,Elanga,NEW,MID,160,1,1.0,48.0
