rank,player,team,position,pos_rank,pts,floor,pp90
208,Liam Millar,HUL,MID,81,145.2,128.76,7.26
209,Conor Bradley,LIV,DEF,65,144.95,103.0,8.15
210,James McAtee,NFO,MID,82,144.71,107.22,9.3
211,Aurele Amenda,COV,DEF,66,144.6,131.94,5.42
212,Valentino Livramento,NEW,DEF,67,144.21,100.68,5.41
213,Marco Palestra,CHE,DEF,68,143.87,94.99,7.19
214,Mats Wieffer,BHA,DEF,69,143.59,112.72,8.08
215,Luka Vuskovic,BHA,DEF,70,143.58,109.91,7.18
216,Ephron Mason-Clark,COV,MID,83,142.98,109.98,8.58
217,Leif Davis,IPS,DEF,71,142.59,114.77,4.28
218,Rio Ngumoha,LIV,FWD,45,142.36,106.08,16.02
219,Omar Marmoush,MCI,FWD,46,142.16,76.0,12.79
220,Jayden Bogle,LEE,DEF,72,141.85,101.73,4.56
221,Jaka Bijol,LEE,DEF,73,140.35,113.8,6.32
222,Jeremy Jacquet,LIV,DEF,74,140.13,96.91,7.01
223,Jaidon Anthony,BRE,MID,84,139.82,103.53,8.39
224,Konstantinos Tzolakis,HUL,GK,20,139.05,127.47,3.66
225,Cesar Palacios,FUL,MID,85,138.37,98.07,7.33
226,Brenden Aaronson,LEE,MID,86,138.23,111.48,7.32
227,Pascal Struijk,BHA,DEF,75,137.66,111.16,6.19
228,Levi Colwill,CHE,DEF,76,137.3,103.06,6.18
229,Luke Shaw,MUN,DEF,77,137.29,118.84,5.15
230,Bazoumana Toure,NEW,FWD,47,137.17,105.56,10.29
231,Ao Tanaka,LEE,MID,87,137.09,123.57,6.85
232,Rodrigo Muniz,FUL,FWD,48,135.99,90.23,10.2
233,Dan Burn,NEW,DEF,78,135.84,106.96,6.79
234,Takehiro Tomiyasu,CRY,DEF,79,135.73,88.79,7.63
235,Anan Khalaili,CRY,DEF,80,135.03,89.94,8.68
236,William Saliba,ARS,DEF,81,135.02,81.29,7.59
237,Sander Berge,FUL,MID,88,134.19,140.62,5.03
238,Calvin Bassey,FUL,DEF,82,134.02,102.06,4.31
239,Noah Sadiki,SUN,MID,89,133.97,147.37,4.31
240,Ryan Sessegnon,FUL,DEF,83,131.9,89.15,8.48
241,Anthony Elanga,NEW,FWD,49,131.38,111.97,6.57
242,Emersonn,IPS,FWD,50,131.22,97.39,6.56
243,Liam Kitching,COV,DEF,84,130.83,114.0,5.89
244,Micky van de Ven,TOT,DEF,85,130.41,87.73,5.1
245,Ousmane Diomande,NFO,DEF,86,130.08,98.92,5.57
246,Aladji Bamba,NEW,MID,90,127.49,117.67,8.2
247,Xaver Schlager,NFO,MID,91,127.29,112.45,7.64
248,Conor Gallagher,TOT,MID,92,126.73,112.41,7.13
