rank,player,team,position,pos_rank,round,tier,xp,edge
155,Araujo,LIV,DEF,51,20,11,123.4,-14.0
156,Caicedo,CHE,MID,51,20,12,127.1,-14.4
157,Diomande,NFO,DEF,52,20,11,122.9,-14.5
158,Burn,NEW,DEF,53,20,12,122.7,-14.7
159,Khusanov,MCI,DEF,54,20,12,122.4,-15.0
160,F.Kadıoğlu,BHA,DEF,55,20,12,122.2,-15.2
161,Branthwaite,EVE,DEF,56,21,12,122.1,-15.3
162,Reijnders,MCI,MID,52,21,12,126.1,-15.3
163,Bentancur,TOT,MID,53,21,12,126.0,-15.5
164,Wharton,CRY,MID,54,21,12,125.7,-15.8
165,Alleyne,MCI,DEF,57,21,12,121.4,-16.0
166,Chavarria,CHE,DEF,58,21,12,121.2,-16.2
167,Colwill,CHE,DEF,59,21,12,121.2,-16.2
168,Jacquet,LIV,DEF,60,21,12,121.1,-16.3
169,Tsimikas,LIV,DEF,61,22,12,121.1,-16.3
170,Svoboda,BHA,DEF,62,22,12,121.0,-16.4
171,Vuskovic,BHA,DEF,63,22,13,121.0,-16.4
172,Silva,BOU,DEF,64,22,13,120.8,-16.6
173,Muharemović,LEE,DEF,65,22,13,120.8,-16.6
174,Awoniyi,NFO,FWD,23,22,7,96.7,-16.6
175,Diarra,SUN,MID,55,22,12,124.3,-17.2
176,Georginio,BHA,FWD,24,22,7,95.7,-17.7
177,O'Brien,EVE,DEF,66,23,13,119.6,-17.8
178,Barry,EVE,FWD,25,23,7,95.4,-17.9
179,Milenković,NFO,DEF,67,23,13,119.3,-18.1
180,Marmoush,MCI,FWD,26,23,8,95.1,-18.3
181,Rodon,LEE,DEF,68,23,13,118.8,-18.6
182,Vitor Reis,MCI,DEF,69,23,13,117.9,-19.5
183,Anselmino,CHE,DEF,70,23,13,117.7,-19.7
184,B.Badiashile,CHE,DEF,71,23,13,117.7,-19.7
185,Disasi,CHE,DEF,72,24,13,117.7,-19.7
186,M.Sarr,CHE,DEF,73,24,14,117.7,-19.7
187,Ji-soo,BRE,DEF,74,24,14,117.6,-19.8
188,Pinnock,BRE,DEF,75,24,14,117.6,-19.8
189,Schuster,BRE,DEF,76,24,14,117.6,-19.8
190,Coppola,BHA,DEF,77,24,14,117.5,-19.9
191,Costinha,BHA,DEF,78,24,14,117.5,-19.9
192,Igor,BHA,DEF,79,24,14,117.5,-19.9
193,Chadi Riad,CRY,DEF,80,25,14,117.5,-19.9
194,Sangaré,NFO,MID,56,25,12,121.2,-20.3
195,García,FUL,FWD,27,25,8,92.6,-20.7
196,L.Miley,NEW,MID,57,25,12,119.5,-22.0
197,Wilson,BRE,FWD,28,25,8,90.9,-22.5
198,Kalimuendo,NFO,FWD,29,25,8,90.8,-22.6
199,Ødegaard,ARS,MID,58,25,12,118.8,-22.6
200,Emersonn,IPS,FWD,30,25,8,90.5,-22.9
201,McBurnie,HUL,FWD,31,26,8,90.3,-23.1
202,Tzolis,ARS,MID,59,26,13,118.1,-23.4
203,Nmecha,LEE,FWD,32,26,8,89.9,-23.4
204,Merino,ARS,MID,60,26,13,117.7,-23.8
205,Lewis-Potter,BRE,MID,61,26,13,117.6,-23.9
206,Munoz,LIV,MID,62,26,13,117.5,-23.9
207,Maddison,TOT,MID,63,26,13,117.3,-24.2
208,Markelo,COV,FWD,33,26,8,89.0,-24.4
209,Simms,COV,FWD,34,27,8,89.0,-24.4
210,Thomas-Asante,COV,FWD,35,27,8,89.0,-24.4
211,Akpom,IPS,FWD,36,27,9,88.9,-24.4
212,Al-Hamadi,IPS,FWD,37,27,9,88.9,-24.4
213,Hirst,IPS,FWD,38,27,9,88.9,-24.4
214,Isidor,SUN,FWD,39,27,9,88.3,-25.0
215,Gomez,BHA,MID,64,27,13,116.0,-25.5
216,Rodríguez,BOU,FWD,40,27,9,86.7,-26.7
217,Tzimas,BHA,FWD,41,28,9,85.3,-28.1
218,Talbi,SUN,MID,65,28,13,113.2,-28.3
219,Janelt,BRE,MID,66,28,13,113.0,-28.5
220,Hudson-Odoi,NFO,MID,67,28,13,112.0,-29.5
221,Emegha,CHE,FWD,42,28,9,83.7,-29.6
222,Mac Allister,LIV,MID,68,28,13,111.6,-29.9
223,Kroupi.Jr,BOU,MID,69,28,14,111.4,-30.1
224,Adams,BOU,MID,70,28,14,110.1,-31.3
225,Barnes,NEW,MID,71,29,14,109.6,-31.9
226,Amad,MUN,MID,72,29,14,108.8,-32.7
227,Buendía,AVL,MID,73,29,14,108.3,-33.2
228,Strand Larsen,CRY,FWD,43,29,9,79.5,-33.9
229,Yarmoliuk,BRE,MID,74,29,14,107.2,-34.3
230,Minteh,BHA,MID,75,29,14,106.8,-34.6
231,Madueke,ARS,MID,76,29,14,106.4,-35.0
232,Gallagher,TOT,MID,77,29,14,104.8,-36.6
233,Touré,NEW,MID,78,30,14,104.7,-36.7
234,Anthony,BRE,MID,79,30,15,104.7,-36.7
235,P.M.Sarr,TOT,MID,80,30,15,104.3,-37.1
236,Madjo,AVL,FWD,44,30,9,73.8,-39.6
237,Wright,COV,FWD,45,30,9,73.5,-39.9
238,Nketiah,CRY,FWD,46,30,10,73.2,-40.2
239,Ferguson,BHA,FWD,47,30,10,72.5,-40.9
240,Obi,MUN,FWD,48,30,10,72.4,-40.9
